timestamp,task_name,name,index,clocks.current.graphics [MHz],cpu_usage,dram_usage,temperature.memory,clocks.current.sm [MHz],utilization.gpu [%],power.draw [W],pcie.link.gen.current,cpu_power,dram_power,pcie.link.width.current,temperature.gpu,clocks.current.memory [MHz],utilization.memory [%]
2025-10-19 07:29:31.5,workload_bart_small_centralus,NVIDIA A100 80GB PCIe,0,1410 MHz,0.0 %,0.8 %,64,1410 MHz,0 %,92.90 W,4,13.50 W (freq-based estimate),325.73 W (est),16,56,1512 MHz,0 %
2025-10-19 07:29:32.8,workload_bart_small_centralus,NVIDIA A100 80GB PCIe,0,1410 MHz,0.0 %,0.8 %,64,1410 MHz,0 %,93.61 W,4,13.50 W (freq-based estimate),325.73 W (est),16,56,1512 MHz,0 %
2025-10-19 07:29:34.1,workload_bart_small_centralus,NVIDIA A100 80GB PCIe,0,1410 MHz,0.0 %,0.8 %,64,1410 MHz,0 %,92.11 W,4,13.50 W (freq-based estimate),325.73 W (est),16,56,1512 MHz,0 %
2025-10-19 07:29:35.5,workload_bart_small_centralus,NVIDIA A100 80GB PCIe,0,1410 MHz,0.0 %,0.9 %,64,1410 MHz,0 %,91.81 W,4,13.50 W (freq-based estimate),325.94 W (est),16,55,1512 MHz,0 %
2025-10-19 07:29:37.0,workload_bart_small_centralus,NVIDIA A100 80GB PCIe,0,1410 MHz,0.0 %,0.9 %,64,1410 MHz,0 %,91.52 W,4,13.50 W (freq-based estimate),325.94 W (est),16,55,1512 MHz,0 %
2025-10-19 07:29:38.4,workload_bart_small_centralus,NVIDIA A100 80GB PCIe,0,1410 MHz,0.0 %,0.9 %,65,1410 MHz,0 %,91.38 W,4,13.50 W (freq-based estimate),326.16 W (est),16,55,1512 MHz,0 %
2025-10-19 07:29:39.7,workload_bart_small_centralus,NVIDIA A100 80GB PCIe,0,1410 MHz,0.0 %,1.1 %,63,1410 MHz,0 %,91.32 W,4,13.50 W (freq-based estimate),326.16 W (est),16,55,1512 MHz,0 %
2025-10-19 07:29:41.0,workload_bart_small_centralus,NVIDIA A100 80GB PCIe,0,1410 MHz,0.0 %,1.1 %,63,1410 MHz,0 %,91.23 W,4,13.50 W (freq-based estimate),326.38 W (est),16,55,1512 MHz,0 %
2025-10-19 07:29:42.3,workload_bart_small_centralus,NVIDIA A100 80GB PCIe,0,1410 MHz,0.0 %,1.1 %,63,1410 MHz,0 %,90.91 W,4,13.50 W (freq-based estimate),326.38 W (est),16,55,1512 MHz,0 %
2025-10-19 07:29:43.8,workload_bart_small_centralus,NVIDIA A100 80GB PCIe,0,1410 MHz,0.0 %,0.9 %,63,1410 MHz,0 %,90.61 W,4,13.50 W (freq-based estimate),325.94 W (est),16,54,1512 MHz,0 %
2025-10-19 07:29:45.3,workload_bart_small_centralus,NVIDIA A100 80GB PCIe,0,1410 MHz,0.0 %,1.0 %,63,1410 MHz,0 %,89.83 W,4,13.50 W (freq-based estimate),326.16 W (est),16,54,1512 MHz,0 %
