timestamp,task_name,name,index,power.draw [W],temperature.gpu,dram_power,clocks.current.graphics [MHz],clocks.current.memory [MHz],dram_usage,pcie.link.width.current,clocks.current.sm [MHz],cpu_usage,cpu_power,temperature.memory,utilization.memory [%],utilization.gpu [%],pcie.link.gen.current
2025-10-22 15:25:04.4,workload_bart_small_us-east1,NVIDIA A100-SXM4-40GB,0,63.10 W,37,250.83 W (est),1095 MHz,1215 MHz,1.1 %,16,1095 MHz,0.0 %,13.50 W (freq-based estimate),36,0 %,0 %,4
2025-10-22 15:25:05.7,workload_bart_small_us-east1,NVIDIA A100-SXM4-40GB,0,63.70 W,37,250.83 W (est),1095 MHz,1215 MHz,1.1 %,16,1095 MHz,0.0 %,13.50 W (freq-based estimate),36,0 %,0 %,4
2025-10-22 15:25:07.1,workload_bart_small_us-east1,NVIDIA A100-SXM4-40GB,0,63.42 W,37,250.83 W (est),1095 MHz,1215 MHz,1.1 %,16,1095 MHz,0.0 %,13.50 W (freq-based estimate),36,0 %,0 %,4
2025-10-22 15:25:08.4,workload_bart_small_us-east1,NVIDIA A100-SXM4-40GB,0,63.10 W,37,250.83 W (est),1095 MHz,1215 MHz,1.1 %,16,1095 MHz,0.0 %,13.50 W (freq-based estimate),36,0 %,0 %,4
2025-10-22 15:25:09.7,workload_bart_small_us-east1,NVIDIA A100-SXM4-40GB,0,63.10 W,37,250.83 W (est),1095 MHz,1215 MHz,1.1 %,16,1095 MHz,0.0 %,13.50 W (freq-based estimate),36,0 %,0 %,4
2025-10-22 15:25:11.0,workload_bart_small_us-east1,NVIDIA A100-SXM4-40GB,0,63.10 W,37,250.83 W (est),1095 MHz,1215 MHz,1.1 %,16,1095 MHz,0.0 %,13.50 W (freq-based estimate),36,0 %,0 %,4
2025-10-22 15:25:12.4,workload_bart_small_us-east1,NVIDIA A100-SXM4-40GB,0,63.10 W,37,250.83 W (est),1095 MHz,1215 MHz,1.1 %,16,1095 MHz,0.0 %,13.50 W (freq-based estimate),36,0 %,0 %,4
2025-10-22 15:25:14.1,workload_bart_small_us-east1,NVIDIA A100-SXM4-40GB,0,63.10 W,37,250.99 W (est),1095 MHz,1215 MHz,1.1 %,16,1095 MHz,0.0 %,13.50 W (freq-based estimate),36,0 %,0 %,4
2025-10-22 15:25:15.5,workload_bart_small_us-east1,NVIDIA A100-SXM4-40GB,0,63.42 W,37,251.16 W (est),1095 MHz,1215 MHz,1.3 %,16,1095 MHz,0.0 %,13.50 W (freq-based estimate),36,0 %,0 %,4
2025-10-22 15:25:16.8,workload_bart_small_us-east1,NVIDIA A100-SXM4-40GB,0,63.10 W,37,251.32 W (est),1095 MHz,1215 MHz,1.3 %,16,1095 MHz,0.0 %,13.50 W (freq-based estimate),36,0 %,0 %,4
2025-10-22 15:25:18.1,workload_bart_small_us-east1,NVIDIA A100-SXM4-40GB,0,62.83 W,37,251.32 W (est),1095 MHz,1215 MHz,1.4 %,16,1095 MHz,0.0 %,13.50 W (freq-based estimate),36,0 %,0 %,4
2025-10-22 15:25:19.4,workload_bart_small_us-east1,NVIDIA A100-SXM4-40GB,0,64.57 W,37,251.32 W (est),1095 MHz,1215 MHz,1.4 %,16,1095 MHz,0.0 %,13.50 W (freq-based estimate),36,0 %,0 %,4
2025-10-22 15:25:20.8,workload_bart_small_us-east1,NVIDIA A100-SXM4-40GB,0,63.10 W,37,251.32 W (est),1095 MHz,1215 MHz,1.4 %,16,1095 MHz,0.0 %,13.50 W (freq-based estimate),36,0 %,0 %,4
2025-10-22 15:25:22.1,workload_bart_small_us-east1,NVIDIA A100-SXM4-40GB,0,62.83 W,37,251.49 W (est),1095 MHz,1215 MHz,1.5 %,16,1095 MHz,0.0 %,13.50 W (freq-based estimate),36,0 %,0 %,4
2025-10-22 15:25:23.4,workload_bart_small_us-east1,NVIDIA A100-SXM4-40GB,0,63.10 W,37,251.49 W (est),1095 MHz,1215 MHz,1.5 %,16,1095 MHz,0.0 %,13.50 W (freq-based estimate),36,0 %,0 %,4
2025-10-22 15:25:25.0,workload_bart_small_us-east1,NVIDIA A100-SXM4-40GB,0,63.10 W,37,250.83 W (est),1095 MHz,1215 MHz,1.2 %,16,1095 MHz,0.0 %,13.50 W (freq-based estimate),36,0 %,0 %,4
2025-10-22 15:25:26.4,workload_bart_small_us-east1,NVIDIA A100-SXM4-40GB,0,63.10 W,37,250.99 W (est),1095 MHz,1215 MHz,1.2 %,16,1095 MHz,0.0 %,13.50 W (freq-based estimate),36,0 %,0 %,4
2025-10-22 15:25:27.7,workload_bart_small_us-east1,NVIDIA A100-SXM4-40GB,0,64.85 W,37,250.99 W (est),1095 MHz,1215 MHz,1.2 %,16,1095 MHz,0.0 %,13.50 W (freq-based estimate),36,0 %,0 %,4
2025-10-22 15:25:29.0,workload_bart_small_us-east1,NVIDIA A100-SXM4-40GB,0,285.68 W,48,250.99 W (est),1410 MHz,1215 MHz,1.2 %,16,1410 MHz,0.0 %,13.50 W (freq-based estimate),40,14 %,74 %,4
2025-10-22 15:25:30.3,workload_bart_small_us-east1,NVIDIA A100-SXM4-40GB,0,218.51 W,49,250.99 W (est),1410 MHz,1215 MHz,1.2 %,16,1410 MHz,0.0 %,13.50 W (freq-based estimate),41,14 %,76 %,4
2025-10-22 15:25:31.7,workload_bart_small_us-east1,NVIDIA A100-SXM4-40GB,0,233.80 W,51,250.99 W (est),1410 MHz,1215 MHz,1.2 %,16,1410 MHz,0.0 %,13.50 W (freq-based estimate),42,16 %,81 %,4
2025-10-22 15:25:33.0,workload_bart_small_us-east1,NVIDIA A100-SXM4-40GB,0,279.57 W,51,250.99 W (est),1410 MHz,1215 MHz,1.2 %,16,1410 MHz,0.0 %,13.50 W (freq-based estimate),43,16 %,82 %,4
2025-10-22 15:25:34.3,workload_bart_small_us-east1,NVIDIA A100-SXM4-40GB,0,256.40 W,52,251.16 W (est),1410 MHz,1215 MHz,1.2 %,16,1410 MHz,0.0 %,13.50 W (freq-based estimate),43,16 %,85 %,4
2025-10-22 15:25:35.6,workload_bart_small_us-east1,NVIDIA A100-SXM4-40GB,0,230.57 W,52,251.16 W (est),1410 MHz,1215 MHz,1.3 %,16,1410 MHz,0.0 %,13.50 W (freq-based estimate),44,15 %,78 %,4
2025-10-22 15:25:36.9,workload_bart_small_us-east1,NVIDIA A100-SXM4-40GB,0,209.73 W,52,251.16 W (est),1410 MHz,1215 MHz,1.3 %,16,1410 MHz,0.0 %,13.50 W (freq-based estimate),44,14 %,77 %,4
2025-10-22 15:25:38.2,workload_bart_small_us-east1,NVIDIA A100-SXM4-40GB,0,260.48 W,53,251.16 W (est),1410 MHz,1215 MHz,1.3 %,16,1410 MHz,0.0 %,13.50 W (freq-based estimate),45,16 %,82 %,4
2025-10-22 15:25:39.5,workload_bart_small_us-east1,NVIDIA A100-SXM4-40GB,0,291.29 W,53,251.16 W (est),1410 MHz,1215 MHz,1.3 %,16,1410 MHz,0.0 %,13.50 W (freq-based estimate),45,16 %,77 %,4
2025-10-22 15:25:40.8,workload_bart_small_us-east1,NVIDIA A100-SXM4-40GB,0,298.32 W,54,251.16 W (est),1410 MHz,1215 MHz,1.3 %,16,1410 MHz,0.0 %,13.50 W (freq-based estimate),45,15 %,79 %,4
2025-10-22 15:25:42.2,workload_bart_small_us-east1,NVIDIA A100-SXM4-40GB,0,264.57 W,53,251.16 W (est),1410 MHz,1215 MHz,1.3 %,16,1410 MHz,0.0 %,13.50 W (freq-based estimate),46,16 %,83 %,4
2025-10-22 15:25:43.5,workload_bart_small_us-east1,NVIDIA A100-SXM4-40GB,0,296.53 W,54,251.16 W (est),1410 MHz,1215 MHz,1.3 %,16,1410 MHz,0.0 %,13.50 W (freq-based estimate),46,16 %,78 %,4
2025-10-22 15:25:44.8,workload_bart_small_us-east1,NVIDIA A100-SXM4-40GB,0,253.45 W,54,251.16 W (est),1410 MHz,1215 MHz,1.3 %,16,1410 MHz,0.0 %,13.50 W (freq-based estimate),46,16 %,83 %,4
2025-10-22 15:25:46.1,workload_bart_small_us-east1,NVIDIA A100-SXM4-40GB,0,261.96 W,55,251.16 W (est),1410 MHz,1215 MHz,1.3 %,16,1410 MHz,0.0 %,13.50 W (freq-based estimate),46,16 %,83 %,4
2025-10-22 15:25:47.4,workload_bart_small_us-east1,NVIDIA A100-SXM4-40GB,0,304.76 W,54,251.16 W (est),1410 MHz,1215 MHz,1.3 %,16,1410 MHz,0.0 %,13.50 W (freq-based estimate),47,15 %,79 %,4
2025-10-22 15:25:48.7,workload_bart_small_us-east1,NVIDIA A100-SXM4-40GB,0,271.02 W,56,251.16 W (est),1410 MHz,1215 MHz,1.3 %,16,1410 MHz,0.0 %,13.50 W (freq-based estimate),47,16 %,81 %,4
2025-10-22 15:25:50.0,workload_bart_small_us-east1,NVIDIA A100-SXM4-40GB,0,274.88 W,56,251.16 W (est),1410 MHz,1215 MHz,1.3 %,16,1410 MHz,0.0 %,13.50 W (freq-based estimate),47,16 %,84 %,4
2025-10-22 15:25:51.3,workload_bart_small_us-east1,NVIDIA A100-SXM4-40GB,0,243.46 W,56,251.16 W (est),1410 MHz,1215 MHz,1.3 %,16,1410 MHz,0.0 %,13.50 W (freq-based estimate),47,16 %,80 %,4
2025-10-22 15:25:52.6,workload_bart_small_us-east1,NVIDIA A100-SXM4-40GB,0,262.23 W,56,251.16 W (est),1410 MHz,1215 MHz,1.3 %,16,1410 MHz,0.0 %,13.50 W (freq-based estimate),48,16 %,81 %,4
2025-10-22 15:25:54.0,workload_bart_small_us-east1,NVIDIA A100-SXM4-40GB,0,283.65 W,57,251.16 W (est),1410 MHz,1215 MHz,1.3 %,16,1410 MHz,0.0 %,13.50 W (freq-based estimate),48,16 %,84 %,4
