timestamp,task_name,name,index,clocks.current.graphics [MHz],clocks.current.memory [MHz],cpu_usage,dram_power,utilization.memory [%],dram_usage,power.draw [W],pcie.link.gen.current,utilization.gpu [%],cpu_power,temperature.gpu,clocks.current.sm [MHz],temperature.memory,pcie.link.width.current
2025-10-19 07:05:32.9,workload_bart_small_us-west1,NVIDIA A100-SXM4-40GB,0,1095 MHz,1215 MHz,0.0 %,250.83 W (est),0 %,1.1 %,64.11 W,4,0 %,13.50 W (freq-based estimate),36,1095 MHz,35,16
2025-10-19 07:05:34.2,workload_bart_small_us-west1,NVIDIA A100-SXM4-40GB,0,1095 MHz,1215 MHz,0.0 %,250.83 W (est),0 %,1.1 %,64.70 W,4,0 %,13.50 W (freq-based estimate),36,1095 MHz,35,16
2025-10-19 07:05:35.5,workload_bart_small_us-west1,NVIDIA A100-SXM4-40GB,0,1095 MHz,1215 MHz,0.0 %,250.83 W (est),0 %,1.1 %,64.37 W,4,0 %,13.50 W (freq-based estimate),36,1095 MHz,35,16
2025-10-19 07:05:36.8,workload_bart_small_us-west1,NVIDIA A100-SXM4-40GB,0,1095 MHz,1215 MHz,0.0 %,250.83 W (est),0 %,1.1 %,64.04 W,4,0 %,13.50 W (freq-based estimate),36,1095 MHz,35,16
2025-10-19 07:05:38.1,workload_bart_small_us-west1,NVIDIA A100-SXM4-40GB,0,1095 MHz,1215 MHz,0.0 %,250.83 W (est),0 %,1.1 %,64.04 W,4,0 %,13.50 W (freq-based estimate),36,1095 MHz,35,16
2025-10-19 07:05:39.4,workload_bart_small_us-west1,NVIDIA A100-SXM4-40GB,0,1095 MHz,1215 MHz,0.0 %,250.83 W (est),0 %,1.1 %,64.43 W,4,0 %,13.50 W (freq-based estimate),36,1095 MHz,35,16
2025-10-19 07:05:40.7,workload_bart_small_us-west1,NVIDIA A100-SXM4-40GB,0,1095 MHz,1215 MHz,0.0 %,250.83 W (est),0 %,1.1 %,64.04 W,4,0 %,13.50 W (freq-based estimate),36,1095 MHz,35,16
2025-10-19 07:05:42.1,workload_bart_small_us-west1,NVIDIA A100-SXM4-40GB,0,1095 MHz,1215 MHz,0.0 %,250.83 W (est),0 %,1.1 %,64.43 W,4,0 %,13.50 W (freq-based estimate),36,1095 MHz,35,16
2025-10-19 07:05:43.4,workload_bart_small_us-west1,NVIDIA A100-SXM4-40GB,0,1095 MHz,1215 MHz,0.0 %,250.83 W (est),0 %,1.1 %,64.11 W,4,0 %,13.50 W (freq-based estimate),36,1095 MHz,35,16
2025-10-19 07:05:44.7,workload_bart_small_us-west1,NVIDIA A100-SXM4-40GB,0,1095 MHz,1215 MHz,0.0 %,250.83 W (est),0 %,1.1 %,64.11 W,4,0 %,13.50 W (freq-based estimate),36,1095 MHz,35,16
