timestamp,task_name,name,index,clocks.current.graphics [MHz],cpu_usage,dram_usage,temperature.memory,clocks.current.sm [MHz],utilization.gpu [%],power.draw [W],pcie.link.gen.current,cpu_power,dram_power,pcie.link.width.current,temperature.gpu,clocks.current.memory [MHz],utilization.memory [%]
2025-10-19 07:18:49.8,workload_flan_t5_small_centralus,NVIDIA A100 80GB PCIe,0,210 MHz,0.0 %,0.0 %,50,210 MHz,0 %,56.00 W,4,13.50 W (freq-based estimate),324.00 W (est),16,35,1512 MHz,0 %
2025-10-19 07:18:52.4,workload_flan_t5_small_centralus,NVIDIA A100 80GB PCIe,0,210 MHz,0.0 %,0.5 %,49,210 MHz,0 %,55.91 W,4,13.50 W (freq-based estimate),325.08 W (est),16,35,1512 MHz,0 %
2025-10-19 07:18:53.8,workload_flan_t5_small_centralus,NVIDIA A100 80GB PCIe,0,210 MHz,0.0 %,0.5 %,49,210 MHz,0 %,55.80 W,4,13.50 W (freq-based estimate),325.08 W (est),16,35,1512 MHz,0 %
2025-10-19 07:18:55.2,workload_flan_t5_small_centralus,NVIDIA A100 80GB PCIe,0,210 MHz,0.0 %,0.5 %,49,210 MHz,0 %,55.41 W,4,13.50 W (freq-based estimate),325.08 W (est),16,35,1512 MHz,0 %
2025-10-19 07:18:56.5,workload_flan_t5_small_centralus,NVIDIA A100 80GB PCIe,0,210 MHz,0.0 %,0.5 %,49,210 MHz,0 %,55.51 W,4,13.50 W (freq-based estimate),325.08 W (est),16,35,1512 MHz,0 %
2025-10-19 07:18:57.8,workload_flan_t5_small_centralus,NVIDIA A100 80GB PCIe,0,210 MHz,0.0 %,0.6 %,49,210 MHz,0 %,55.54 W,4,13.50 W (freq-based estimate),325.08 W (est),16,35,1512 MHz,0 %
2025-10-19 07:18:59.1,workload_flan_t5_small_centralus,NVIDIA A100 80GB PCIe,0,210 MHz,0.0 %,0.6 %,50,210 MHz,0 %,55.94 W,4,13.50 W (freq-based estimate),325.30 W (est),16,35,1512 MHz,0 %
2025-10-19 07:19:00.4,workload_flan_t5_small_centralus,NVIDIA A100 80GB PCIe,0,210 MHz,0.0 %,0.6 %,49,210 MHz,0 %,55.73 W,4,13.50 W (freq-based estimate),325.30 W (est),16,35,1512 MHz,0 %
2025-10-19 07:19:01.7,workload_flan_t5_small_centralus,NVIDIA A100 80GB PCIe,0,210 MHz,0.0 %,0.6 %,48,210 MHz,0 %,55.44 W,4,13.50 W (freq-based estimate),325.30 W (est),16,35,1512 MHz,0 %
2025-10-19 07:19:03.0,workload_flan_t5_small_centralus,NVIDIA A100 80GB PCIe,0,210 MHz,0.0 %,0.6 %,50,210 MHz,0 %,55.54 W,4,13.50 W (freq-based estimate),325.30 W (est),16,35,1512 MHz,0 %
2025-10-19 07:19:04.3,workload_flan_t5_small_centralus,NVIDIA A100 80GB PCIe,0,210 MHz,0.0 %,0.6 %,50,210 MHz,0 %,55.73 W,4,13.50 W (freq-based estimate),325.30 W (est),16,35,1512 MHz,0 %
2025-10-19 07:19:05.7,workload_flan_t5_small_centralus,NVIDIA A100 80GB PCIe,0,210 MHz,0.0 %,0.6 %,50,210 MHz,0 %,55.35 W,4,13.50 W (freq-based estimate),325.30 W (est),16,35,1512 MHz,0 %
2025-10-19 07:19:07.0,workload_flan_t5_small_centralus,NVIDIA A100 80GB PCIe,0,210 MHz,0.0 %,0.6 %,50,210 MHz,0 %,55.55 W,4,13.50 W (freq-based estimate),325.30 W (est),16,35,1512 MHz,0 %
2025-10-19 07:19:08.3,workload_flan_t5_small_centralus,NVIDIA A100 80GB PCIe,0,210 MHz,0.0 %,0.6 %,50,210 MHz,0 %,55.94 W,4,13.50 W (freq-based estimate),325.30 W (est),16,35,1512 MHz,0 %
2025-10-19 07:19:09.6,workload_flan_t5_small_centralus,NVIDIA A100 80GB PCIe,0,210 MHz,0.0 %,0.7 %,49,210 MHz,0 %,55.54 W,4,13.50 W (freq-based estimate),325.51 W (est),16,35,1512 MHz,0 %
2025-10-19 07:19:10.9,workload_flan_t5_small_centralus,NVIDIA A100 80GB PCIe,0,1410 MHz,0.0 %,0.6 %,49,1410 MHz,0 %,76.42 W,4,13.50 W (freq-based estimate),325.51 W (est),16,36,1512 MHz,0 %
2025-10-19 07:19:18.2,workload_flan_t5_small_centralus,NVIDIA A100 80GB PCIe,0,1410 MHz,0.0 %,0.7 %,49,1410 MHz,0 %,75.60 W,4,13.50 W (freq-based estimate),325.51 W (est),16,36,1512 MHz,0 %
2025-10-19 07:19:19.8,workload_flan_t5_small_centralus,NVIDIA A100 80GB PCIe,0,1410 MHz,0.0 %,0.7 %,49,1410 MHz,0 %,75.80 W,4,13.50 W (freq-based estimate),325.51 W (est),16,36,1512 MHz,0 %
2025-10-19 07:19:21.1,workload_flan_t5_small_centralus,NVIDIA A100 80GB PCIe,0,1410 MHz,0.0 %,0.8 %,49,1410 MHz,0 %,76.70 W,4,13.50 W (freq-based estimate),325.51 W (est),16,36,1512 MHz,0 %
2025-10-19 07:19:22.4,workload_flan_t5_small_centralus,NVIDIA A100 80GB PCIe,0,1410 MHz,0.0 %,0.8 %,51,1410 MHz,20 %,257.15 W,4,13.50 W (freq-based estimate),325.73 W (est),16,40,1512 MHz,6 %
2025-10-19 07:19:23.8,workload_flan_t5_small_centralus,NVIDIA A100 80GB PCIe,0,1410 MHz,0.0 %,0.8 %,51,1410 MHz,86 %,267.52 W,4,13.50 W (freq-based estimate),325.73 W (est),16,42,1512 MHz,21 %
2025-10-19 07:19:25.1,workload_flan_t5_small_centralus,NVIDIA A100 80GB PCIe,0,1410 MHz,0.0 %,0.8 %,53,1410 MHz,86 %,198.38 W,4,13.50 W (freq-based estimate),325.73 W (est),16,42,1512 MHz,22 %
2025-10-19 07:19:26.4,workload_flan_t5_small_centralus,NVIDIA A100 80GB PCIe,0,1410 MHz,0.0 %,0.8 %,52,1410 MHz,83 %,227.13 W,4,13.50 W (freq-based estimate),325.73 W (est),16,42,1512 MHz,22 %
2025-10-19 07:19:27.7,workload_flan_t5_small_centralus,NVIDIA A100 80GB PCIe,0,1410 MHz,0.0 %,0.8 %,53,1410 MHz,86 %,259.30 W,4,13.50 W (freq-based estimate),325.73 W (est),16,44,1512 MHz,22 %
