timestamp,task_name,name,index,power.draw [W],temperature.gpu,dram_power,clocks.current.graphics [MHz],clocks.current.memory [MHz],dram_usage,pcie.link.width.current,clocks.current.sm [MHz],cpu_usage,cpu_power,temperature.memory,utilization.memory [%],utilization.gpu [%],pcie.link.gen.current
2025-10-22 15:11:29.3,workload_flan_t5_small_us-east1,NVIDIA A100-SXM4-40GB,0,58.34 W,38,249.00 W (est),210 MHz,1215 MHz,0.0 %,16,210 MHz,0.0 %,13.50 W (freq-based estimate),37,0 %,0 %,4
2025-10-22 15:11:32.3,workload_flan_t5_small_us-east1,NVIDIA A100-SXM4-40GB,0,58.34 W,38,250.16 W (est),210 MHz,1215 MHz,0.6 %,16,210 MHz,0.0 %,13.50 W (freq-based estimate),37,0 %,0 %,4
2025-10-22 15:11:33.6,workload_flan_t5_small_us-east1,NVIDIA A100-SXM4-40GB,0,58.34 W,37,250.16 W (est),210 MHz,1215 MHz,0.7 %,16,210 MHz,0.0 %,13.50 W (freq-based estimate),37,0 %,0 %,4
2025-10-22 15:11:35.0,workload_flan_t5_small_us-east1,NVIDIA A100-SXM4-40GB,0,58.07 W,37,250.16 W (est),210 MHz,1215 MHz,0.7 %,16,210 MHz,0.0 %,13.50 W (freq-based estimate),37,0 %,0 %,4
2025-10-22 15:11:36.3,workload_flan_t5_small_us-east1,NVIDIA A100-SXM4-40GB,0,58.07 W,37,250.16 W (est),210 MHz,1215 MHz,0.7 %,16,210 MHz,0.0 %,13.50 W (freq-based estimate),37,0 %,0 %,4
2025-10-22 15:11:37.7,workload_flan_t5_small_us-east1,NVIDIA A100-SXM4-40GB,0,58.07 W,37,250.16 W (est),210 MHz,1215 MHz,0.7 %,16,210 MHz,0.0 %,13.50 W (freq-based estimate),36,0 %,0 %,4
2025-10-22 15:11:39.0,workload_flan_t5_small_us-east1,NVIDIA A100-SXM4-40GB,0,58.07 W,37,250.16 W (est),210 MHz,1215 MHz,0.7 %,16,210 MHz,0.0 %,13.50 W (freq-based estimate),36,0 %,0 %,4
2025-10-22 15:11:40.6,workload_flan_t5_small_us-east1,NVIDIA A100-SXM4-40GB,0,59.81 W,37,250.16 W (est),765 MHz,1215 MHz,0.7 %,16,765 MHz,0.0 %,13.50 W (freq-based estimate),36,0 %,0 %,4
2025-10-22 15:11:41.9,workload_flan_t5_small_us-east1,NVIDIA A100-SXM4-40GB,0,59.81 W,37,250.16 W (est),765 MHz,1215 MHz,0.7 %,16,765 MHz,0.0 %,13.50 W (freq-based estimate),36,0 %,0 %,4
2025-10-22 15:11:43.2,workload_flan_t5_small_us-east1,NVIDIA A100-SXM4-40GB,0,57.74 W,37,250.16 W (est),210 MHz,1215 MHz,0.7 %,16,210 MHz,0.0 %,13.50 W (freq-based estimate),36,0 %,0 %,4
2025-10-22 15:11:44.6,workload_flan_t5_small_us-east1,NVIDIA A100-SXM4-40GB,0,57.74 W,37,250.16 W (est),210 MHz,1215 MHz,0.7 %,16,210 MHz,0.0 %,13.50 W (freq-based estimate),36,0 %,0 %,4
2025-10-22 15:11:45.9,workload_flan_t5_small_us-east1,NVIDIA A100-SXM4-40GB,0,57.74 W,37,250.16 W (est),210 MHz,1215 MHz,0.7 %,16,210 MHz,0.0 %,13.50 W (freq-based estimate),36,0 %,0 %,4
2025-10-22 15:11:47.2,workload_flan_t5_small_us-east1,NVIDIA A100-SXM4-40GB,0,57.74 W,37,250.33 W (est),210 MHz,1215 MHz,0.7 %,16,210 MHz,0.0 %,13.50 W (freq-based estimate),36,0 %,0 %,4
2025-10-22 15:11:48.6,workload_flan_t5_small_us-east1,NVIDIA A100-SXM4-40GB,0,57.74 W,37,250.33 W (est),210 MHz,1215 MHz,0.8 %,16,210 MHz,0.0 %,13.50 W (freq-based estimate),36,0 %,0 %,4
2025-10-22 15:11:49.9,workload_flan_t5_small_us-east1,NVIDIA A100-SXM4-40GB,0,57.74 W,37,250.33 W (est),210 MHz,1215 MHz,0.8 %,16,210 MHz,0.0 %,13.50 W (freq-based estimate),36,0 %,0 %,4
