timestamp,task_name,name,index,clocks.current.graphics [MHz],clocks.current.memory [MHz],cpu_usage,dram_power,utilization.memory [%],dram_usage,power.draw [W],pcie.link.gen.current,utilization.gpu [%],cpu_power,temperature.gpu,clocks.current.sm [MHz],temperature.memory,pcie.link.width.current
2025-10-19 06:51:23.6,workload_flan_t5_small_us-west1,NVIDIA A100-SXM4-40GB,0,210 MHz,1215 MHz,0.0 %,249.00 W (est),0 %,0.0 %,57.92 W,4,0 %,13.50 W (freq-based estimate),34,210 MHz,33,16
2025-10-19 06:51:26.4,workload_flan_t5_small_us-west1,NVIDIA A100-SXM4-40GB,0,210 MHz,1215 MHz,0.0 %,250.16 W (est),0 %,0.7 %,57.92 W,4,0 %,13.50 W (freq-based estimate),34,210 MHz,33,16
2025-10-19 06:51:27.7,workload_flan_t5_small_us-west1,NVIDIA A100-SXM4-40GB,0,210 MHz,1215 MHz,0.0 %,250.16 W (est),0 %,0.7 %,57.92 W,4,0 %,13.50 W (freq-based estimate),34,210 MHz,32,16
2025-10-19 06:51:29.1,workload_flan_t5_small_us-west1,NVIDIA A100-SXM4-40GB,0,210 MHz,1215 MHz,0.0 %,250.16 W (est),0 %,0.7 %,57.92 W,4,0 %,13.50 W (freq-based estimate),34,210 MHz,33,16
2025-10-19 06:51:30.4,workload_flan_t5_small_us-west1,NVIDIA A100-SXM4-40GB,0,210 MHz,1215 MHz,0.0 %,250.16 W (est),0 %,0.7 %,57.92 W,4,0 %,13.50 W (freq-based estimate),34,210 MHz,33,16
2025-10-19 06:51:31.8,workload_flan_t5_small_us-west1,NVIDIA A100-SXM4-40GB,0,210 MHz,1215 MHz,0.0 %,250.16 W (est),0 %,0.7 %,57.92 W,4,0 %,13.50 W (freq-based estimate),34,210 MHz,32,16
2025-10-19 06:51:33.1,workload_flan_t5_small_us-west1,NVIDIA A100-SXM4-40GB,0,210 MHz,1215 MHz,0.0 %,250.16 W (est),0 %,0.7 %,57.92 W,4,0 %,13.50 W (freq-based estimate),34,210 MHz,33,16
2025-10-19 06:51:34.5,workload_flan_t5_small_us-west1,NVIDIA A100-SXM4-40GB,0,210 MHz,1215 MHz,0.0 %,250.16 W (est),0 %,0.7 %,57.92 W,4,0 %,13.50 W (freq-based estimate),34,210 MHz,32,16
2025-10-19 06:51:35.8,workload_flan_t5_small_us-west1,NVIDIA A100-SXM4-40GB,0,210 MHz,1215 MHz,0.0 %,250.16 W (est),0 %,0.7 %,57.92 W,4,0 %,13.50 W (freq-based estimate),34,210 MHz,32,16
2025-10-19 06:51:37.1,workload_flan_t5_small_us-west1,NVIDIA A100-SXM4-40GB,0,210 MHz,1215 MHz,0.0 %,250.16 W (est),0 %,0.7 %,57.92 W,4,0 %,13.50 W (freq-based estimate),34,210 MHz,33,16
2025-10-19 06:51:38.4,workload_flan_t5_small_us-west1,NVIDIA A100-SXM4-40GB,0,210 MHz,1215 MHz,0.0 %,250.33 W (est),0 %,0.7 %,57.92 W,4,0 %,13.50 W (freq-based estimate),34,210 MHz,32,16
2025-10-19 06:51:39.8,workload_flan_t5_small_us-west1,NVIDIA A100-SXM4-40GB,0,210 MHz,1215 MHz,0.0 %,250.16 W (est),0 %,0.7 %,57.92 W,4,0 %,13.50 W (freq-based estimate),34,210 MHz,32,16
2025-10-19 06:51:41.1,workload_flan_t5_small_us-west1,NVIDIA A100-SXM4-40GB,0,210 MHz,1215 MHz,0.0 %,250.33 W (est),0 %,0.7 %,57.92 W,4,0 %,13.50 W (freq-based estimate),34,210 MHz,32,16
2025-10-19 06:51:42.4,workload_flan_t5_small_us-west1,NVIDIA A100-SXM4-40GB,0,210 MHz,1215 MHz,0.0 %,250.33 W (est),0 %,0.8 %,57.92 W,4,0 %,13.50 W (freq-based estimate),34,210 MHz,32,16
2025-10-19 06:51:43.7,workload_flan_t5_small_us-west1,NVIDIA A100-SXM4-40GB,0,210 MHz,1215 MHz,0.0 %,250.33 W (est),0 %,0.8 %,57.92 W,4,0 %,13.50 W (freq-based estimate),34,210 MHz,32,16
2025-10-19 06:51:45.0,workload_flan_t5_small_us-west1,NVIDIA A100-SXM4-40GB,0,210 MHz,1215 MHz,0.0 %,250.33 W (est),0 %,0.8 %,57.92 W,4,0 %,13.50 W (freq-based estimate),34,210 MHz,32,16
2025-10-19 06:51:46.3,workload_flan_t5_small_us-west1,NVIDIA A100-SXM4-40GB,0,210 MHz,1215 MHz,0.0 %,250.49 W (est),0 %,0.8 %,57.92 W,4,0 %,13.50 W (freq-based estimate),34,210 MHz,33,16
2025-10-19 06:51:47.6,workload_flan_t5_small_us-west1,NVIDIA A100-SXM4-40GB,0,1095 MHz,1215 MHz,0.0 %,250.49 W (est),0 %,0.9 %,65.31 W,4,0 %,13.50 W (freq-based estimate),34,1095 MHz,33,16
2025-10-19 06:51:48.9,workload_flan_t5_small_us-west1,NVIDIA A100-SXM4-40GB,0,1095 MHz,1215 MHz,0.0 %,250.49 W (est),0 %,0.9 %,63.23 W,4,0 %,13.50 W (freq-based estimate),34,1095 MHz,33,16
2025-10-19 06:51:58.3,workload_flan_t5_small_us-west1,NVIDIA A100-SXM4-40GB,0,1095 MHz,1215 MHz,0.0 %,250.49 W (est),0 %,0.9 %,63.23 W,4,0 %,13.50 W (freq-based estimate),34,1095 MHz,33,16
2025-10-19 06:51:59.8,workload_flan_t5_small_us-west1,NVIDIA A100-SXM4-40GB,0,1095 MHz,1215 MHz,0.0 %,250.49 W (est),0 %,0.9 %,63.23 W,4,0 %,13.50 W (freq-based estimate),34,1095 MHz,33,16
2025-10-19 06:52:01.1,workload_flan_t5_small_us-west1,NVIDIA A100-SXM4-40GB,0,1095 MHz,1215 MHz,0.0 %,250.66 W (est),0 %,0.9 %,63.23 W,4,0 %,13.50 W (freq-based estimate),34,1095 MHz,33,16
2025-10-19 06:52:02.4,workload_flan_t5_small_us-west1,NVIDIA A100-SXM4-40GB,0,1095 MHz,1215 MHz,0.0 %,250.83 W (est),4 %,1.1 %,153.01 W,4,12 %,13.50 W (freq-based estimate),36,1095 MHz,35,16
2025-10-19 06:52:03.8,workload_flan_t5_small_us-west1,NVIDIA A100-SXM4-40GB,0,1410 MHz,1215 MHz,0.0 %,250.83 W (est),23 %,1.1 %,184.57 W,4,80 %,13.50 W (freq-based estimate),43,1410 MHz,39,16
2025-10-19 06:52:05.1,workload_flan_t5_small_us-west1,NVIDIA A100-SXM4-40GB,0,1410 MHz,1215 MHz,0.0 %,250.83 W (est),26 %,1.1 %,251.61 W,4,83 %,13.50 W (freq-based estimate),44,1410 MHz,40,16
2025-10-19 06:52:06.4,workload_flan_t5_small_us-west1,NVIDIA A100-SXM4-40GB,0,1410 MHz,1215 MHz,0.0 %,250.83 W (est),24 %,1.1 %,245.44 W,4,79 %,13.50 W (freq-based estimate),45,1410 MHz,41,16
2025-10-19 06:52:07.7,workload_flan_t5_small_us-west1,NVIDIA A100-SXM4-40GB,0,1410 MHz,1215 MHz,0.0 %,250.83 W (est),27 %,1.1 %,241.00 W,4,85 %,13.50 W (freq-based estimate),46,1410 MHz,42,16
2025-10-19 06:52:09.0,workload_flan_t5_small_us-west1,NVIDIA A100-SXM4-40GB,0,1410 MHz,1215 MHz,0.0 %,250.83 W (est),25 %,1.1 %,254.57 W,4,79 %,13.50 W (freq-based estimate),46,1410 MHz,41,16
2025-10-19 06:52:10.3,workload_flan_t5_small_us-west1,NVIDIA A100-SXM4-40GB,0,1410 MHz,1215 MHz,0.0 %,250.83 W (est),24 %,1.1 %,266.60 W,4,82 %,13.50 W (freq-based estimate),46,1410 MHz,43,16
2025-10-19 06:52:11.6,workload_flan_t5_small_us-west1,NVIDIA A100-SXM4-40GB,0,1410 MHz,1215 MHz,0.0 %,250.83 W (est),26 %,1.1 %,218.96 W,4,79 %,13.50 W (freq-based estimate),46,1410 MHz,42,16
2025-10-19 06:52:12.9,workload_flan_t5_small_us-west1,NVIDIA A100-SXM4-40GB,0,1410 MHz,1215 MHz,0.0 %,250.83 W (est),26 %,1.1 %,260.69 W,4,83 %,13.50 W (freq-based estimate),47,1410 MHz,44,16
2025-10-19 06:52:14.2,workload_flan_t5_small_us-west1,NVIDIA A100-SXM4-40GB,0,1410 MHz,1215 MHz,0.0 %,250.83 W (est),25 %,1.1 %,210.16 W,4,82 %,13.50 W (freq-based estimate),47,1410 MHz,44,16
2025-10-19 06:52:15.5,workload_flan_t5_small_us-west1,NVIDIA A100-SXM4-40GB,0,1410 MHz,1215 MHz,0.0 %,250.83 W (est),24 %,1.1 %,265.73 W,4,83 %,13.50 W (freq-based estimate),47,1410 MHz,43,16
2025-10-19 06:52:16.8,workload_flan_t5_small_us-west1,NVIDIA A100-SXM4-40GB,0,1410 MHz,1215 MHz,0.0 %,250.83 W (est),26 %,1.1 %,224.88 W,4,81 %,13.50 W (freq-based estimate),48,1410 MHz,45,16
2025-10-19 06:52:18.2,workload_flan_t5_small_us-west1,NVIDIA A100-SXM4-40GB,0,1410 MHz,1215 MHz,0.0 %,250.83 W (est),26 %,1.1 %,256.65 W,4,84 %,13.50 W (freq-based estimate),48,1410 MHz,43,16
2025-10-19 06:52:19.5,workload_flan_t5_small_us-west1,NVIDIA A100-SXM4-40GB,0,1410 MHz,1215 MHz,0.0 %,250.83 W (est),24 %,1.1 %,210.43 W,4,81 %,13.50 W (freq-based estimate),49,1410 MHz,45,16
2025-10-19 06:52:20.8,workload_flan_t5_small_us-west1,NVIDIA A100-SXM4-40GB,0,1410 MHz,1215 MHz,0.0 %,250.83 W (est),24 %,1.1 %,243.96 W,4,82 %,13.50 W (freq-based estimate),49,1410 MHz,44,16
2025-10-19 06:52:22.1,workload_flan_t5_small_us-west1,NVIDIA A100-SXM4-40GB,0,1410 MHz,1215 MHz,0.0 %,250.83 W (est),23 %,1.1 %,225.15 W,4,78 %,13.50 W (freq-based estimate),49,1410 MHz,45,16
2025-10-19 06:52:23.4,workload_flan_t5_small_us-west1,NVIDIA A100-SXM4-40GB,0,1410 MHz,1215 MHz,0.0 %,250.83 W (est),23 %,1.1 %,188.67 W,4,81 %,13.50 W (freq-based estimate),49,1410 MHz,45,16
2025-10-19 06:52:24.7,workload_flan_t5_small_us-west1,NVIDIA A100-SXM4-40GB,0,1410 MHz,1215 MHz,0.0 %,250.83 W (est),23 %,1.1 %,222.52 W,4,76 %,13.50 W (freq-based estimate),49,1410 MHz,45,16
2025-10-19 06:52:26.0,workload_flan_t5_small_us-west1,NVIDIA A100-SXM4-40GB,0,1410 MHz,1215 MHz,0.0 %,250.83 W (est),23 %,1.1 %,197.80 W,4,82 %,13.50 W (freq-based estimate),49,1410 MHz,46,16
2025-10-19 06:52:27.3,workload_flan_t5_small_us-west1,NVIDIA A100-SXM4-40GB,0,1410 MHz,1215 MHz,0.0 %,250.83 W (est),24 %,1.1 %,215.47 W,4,79 %,13.50 W (freq-based estimate),49,1410 MHz,45,16
2025-10-19 06:52:28.6,workload_flan_t5_small_us-west1,NVIDIA A100-SXM4-40GB,0,1410 MHz,1215 MHz,0.0 %,250.83 W (est),26 %,1.1 %,206.06 W,4,85 %,13.50 W (freq-based estimate),50,1410 MHz,46,16
2025-10-19 06:52:29.9,workload_flan_t5_small_us-west1,NVIDIA A100-SXM4-40GB,0,1410 MHz,1215 MHz,0.0 %,250.83 W (est),26 %,1.1 %,215.47 W,4,80 %,13.50 W (freq-based estimate),49,1410 MHz,47,16
2025-10-19 06:52:31.2,workload_flan_t5_small_us-west1,NVIDIA A100-SXM4-40GB,0,1410 MHz,1215 MHz,0.0 %,250.83 W (est),25 %,1.1 %,235.15 W,4,85 %,13.50 W (freq-based estimate),50,1410 MHz,45,16
2025-10-19 06:52:32.5,workload_flan_t5_small_us-west1,NVIDIA A100-SXM4-40GB,0,1410 MHz,1215 MHz,0.0 %,250.83 W (est),26 %,1.1 %,226.90 W,4,82 %,13.50 W (freq-based estimate),49,1410 MHz,47,16
2025-10-19 06:52:33.9,workload_flan_t5_small_us-west1,NVIDIA A100-SXM4-40GB,0,1410 MHz,1215 MHz,0.0 %,250.83 W (est),24 %,1.1 %,195.72 W,4,83 %,13.50 W (freq-based estimate),50,1410 MHz,45,16
2025-10-19 06:52:35.2,workload_flan_t5_small_us-west1,NVIDIA A100-SXM4-40GB,0,1410 MHz,1215 MHz,0.0 %,250.83 W (est),26 %,1.1 %,216.89 W,4,83 %,13.50 W (freq-based estimate),50,1410 MHz,46,16
2025-10-19 06:52:36.5,workload_flan_t5_small_us-west1,NVIDIA A100-SXM4-40GB,0,1410 MHz,1215 MHz,0.0 %,250.83 W (est),21 %,1.1 %,127.86 W,4,67 %,13.50 W (freq-based estimate),48,1410 MHz,46,16
2025-10-19 06:52:37.9,workload_flan_t5_small_us-west1,NVIDIA A100-SXM4-40GB,0,1410 MHz,1215 MHz,0.0 %,250.83 W (est),13 %,1.1 %,169.58 W,4,44 %,13.50 W (freq-based estimate),47,1410 MHz,45,16
2025-10-19 06:52:39.2,workload_flan_t5_small_us-west1,NVIDIA A100-SXM4-40GB,0,1410 MHz,1215 MHz,0.0 %,250.83 W (est),20 %,1.1 %,133.44 W,4,69 %,13.50 W (freq-based estimate),46,1410 MHz,43,16
2025-10-19 06:52:40.6,workload_flan_t5_small_us-west1,NVIDIA A100-SXM4-40GB,0,1410 MHz,1215 MHz,0.0 %,250.83 W (est),12 %,1.1 %,141.09 W,4,42 %,13.50 W (freq-based estimate),46,1410 MHz,44,16
2025-10-19 06:52:41.9,workload_flan_t5_small_us-west1,NVIDIA A100-SXM4-40GB,0,1410 MHz,1215 MHz,0.0 %,250.83 W (est),11 %,1.1 %,115.34 W,4,39 %,13.50 W (freq-based estimate),46,1410 MHz,43,16
2025-10-19 06:52:43.2,workload_flan_t5_small_us-west1,NVIDIA A100-SXM4-40GB,0,1410 MHz,1215 MHz,0.0 %,250.83 W (est),15 %,1.1 %,195.18 W,4,51 %,13.50 W (freq-based estimate),46,1410 MHz,43,16
